class,additional O,class_name,R_group,composition,Unnamed: 5,Unnamed: 6,priority_NP,priority_RP,combined,measurement,chem,chains
?,0.0,,,BC-,,,,3.1,,NP_neg_0; RP_neg_0,CHO2,1
CL,0.0,cardiolipin,FA,,,,10.0,10.0,,NP_neg_0; NP_neg2_0; NP_pos_NH3; RP_pos_NH3; RP_neg_0; RP_neg2_0; RP_neg_Na,C13H18O17P2,4
CL,1.0,,,,_OH,,3.0,3.0,,NP_neg_0; NP_neg2_0; NP_pos_NH3; RP_pos_NH3; RP_neg_0; RP_neg2_0; RP_neg_Na,C13H18O18P2,4
CL,2.0,,,,_2OH,,3.0,3.0,,NP_neg_0; NP_neg2_0; NP_pos_NH3; RP_pos_NH3; RP_neg_0; RP_neg2_0; RP_neg_Na,C13H18O19P2,4
?,0.0,monolysocardiolipin,,ML,,,10.0,10.0,,NP_neg_0; NP_neg2_0; NP_pos_NH3; RP_pos_NH3; RP_neg_0; RP_neg2_0; RP_neg_Na,C12H19O16P2,3
?,0.0,dilysocardiolipin,,DL,,,10.0,10.0,,NP_neg_0; NP_neg2_0; NP_pos_NH3; RP_pos_NH3; RP_neg_0; RP_neg2_0; RP_neg_Na,C11H20O15P2,2
SM,2.0,sphingomyelin,FA,,,d,10.0,10.0,,NP_pos_0; RP_pos_0; NP_pos_Na; RP_pos_Na; NP_neg_HCl; RP_neg_HCl; RP_neg_CH2O2; NP_neg_CH2O2,C7H15N2O6P,2
SM,3.0,,,,,t,10.0,10.0,,NP_pos_0; RP_pos_0; NP_pos_Na; RP_pos_Na; NP_neg_HCl; RP_neg_HCl; RP_neg_CH2O2; NP_neg_CH2O2,C7H15N2O7P,2
SM,3.0,,,,_OH,d,5.0,5.0,,NP_pos_0; RP_pos_0; NP_pos_Na; RP_pos_Na; NP_neg_HCl; RP_neg_HCl; RP_neg_CH2O2; NP_neg_CH2O2,C7H15N2O7P,2
SM,4.0,,,,_2OH,d,5.0,5.0,,NP_pos_0; RP_pos_0; NP_pos_Na; RP_pos_Na; NP_neg_HCl; RP_neg_HCl; RP_neg_CH2O2; NP_neg_CH2O2,C7H15N2O8P,2
?,0.0,,,3-O-acyl,,d,5.0,5.0,,NP_pos_0; RP_pos_0; NP_pos_Na; RP_pos_Na; NP_neg_HCl; RP_neg_HCl; RP_neg_CH2O2; NP_neg_CH2O2,C8H14N2O7P,3
Cer,2.0,ceramide,FA,,,d,7.0,10.0,,RP_pos_0; RP_pos_0-H2O; RP_pos_Na; RP_neg_HCl; NP_pos_0; NP_pos_0-H2O; NP_pos_Na; NP_neg_HCl; RP_neg_CH2O2; NP_neg_CH2O2,C2H3NO3,2
Cer,3.0,phytoceramide,,,,t,5.0,5.0,,RP_pos_0; RP_pos_0-H2O; RP_pos_Na; RP_neg_HCl; NP_pos_0; NP_pos_0-H2O; NP_pos_Na; NP_neg_HCl; RP_neg_CH2O2; NP_neg_CH2O2,C2H3NO4,2
Cer,1.0,,,,,m,,,,RP_pos_0; RP_pos_0-H2O; RP_pos_Na; RP_neg_HCl; NP_pos_0; NP_pos_0-H2O; NP_pos_Na; NP_neg_HCl; RP_neg_CH2O2; NP_neg_CH2O2,C2H3NO2,2
Cer,4.0,,,,,q,,,,RP_pos_0; RP_pos_0-H2O; RP_pos_Na; RP_neg_HCl; NP_pos_0; NP_pos_0-H2O; NP_pos_Na; NP_neg_HCl; RP_neg_CH2O2; NP_neg_CH2O2,C2H3NO5,2
CerP,2.0,ceramide 1-phosphate,FA,,,d,10.0,5.0,,NP_neg_0; NP_pos_0; NP_pos_0-H2O; NP_pos_Na; NP_neg_HCl; NP_neg_CH2O2,C2H4NO6P,2
CerP,3.0,,,,,t,5.0,5.0,,NP_neg_0; NP_pos_0; NP_pos_0-H2O; NP_pos_Na; NP_neg_HCl; NP_neg_CH2O2,C2H4NO7P,2
HexCer,2.0,hexosylceramide,FA,,,d,10.0,10.0,,RP_pos_0; RP_pos_0-H2O; RP_pos_Na;  NP_pos_0; NP_pos_0-H2O; NP_pos_Na; NP_neg_HCl; RP_neg_CH2O2; NP_neg_CH2O2,C8H13NO8,2
HexCer,3.0,,,,,t,10.0,10.0,,RP_pos_0; RP_pos_0-H2O; RP_pos_Na;  NP_pos_0; NP_pos_0-H2O; NP_pos_Na; NP_neg_HCl; RP_neg_CH2O2; NP_neg_CH2O2,C8H13NO9,2
Hex2Cer,2.0,dihexosylceramide,FA,,,d,10.0,10.0,,RP_pos_0; RP_pos_0-H2O; RP_pos_Na;  NP_pos_0; NP_pos_0-H2O; NP_pos_Na; NP_neg_HCl; RP_neg_CH2O2; NP_neg_CH2O2,C14H23NO13,2
Hex2Cer,3.0,,,,,t,10.0,10.0,,RP_pos_0; RP_pos_0-H2O; RP_pos_Na;  NP_pos_0; NP_pos_0-H2O; NP_pos_Na; NP_neg_HCl; RP_neg_CH2O2; NP_neg_CH2O2,C14H23NO14,2
Hex3Cer,2.0,trihexosylceramide,FA,,,d,10.0,10.0,,RP_pos_0; RP_pos_0-H2O; RP_pos_Na;  NP_pos_0; NP_pos_0-H2O; NP_pos_Na; NP_neg_HCl; RP_neg_CH2O2; NP_neg_CH2O2,C20H33NO18,2
Hex3Cer,3.0,,,,,t,10.0,10.0,,RP_pos_0; RP_pos_0-H2O; RP_pos_Na;  NP_pos_0; NP_pos_0-H2O; NP_pos_Na; NP_neg_HCl; RP_neg_CH2O2; NP_neg_CH2O2,C20H33NO19,2
SPB,2.0,sphingosine,FA,,,d,10.0,10.0,,RP_pos_0; RP_pos_0-H2O; RP_pos_Na; NP_pos_0; NP_pos_0-H2O,CH4NO2,1
SPB,3.0,phytosphingosine,,,,t,5.0,5.0,,RP_pos_0; RP_pos_0-H2O; RP_pos_Na; NP_pos_0; NP_pos_0-H2O,CH4NO3,1
SPB,1.0,,,,,m,5.0,5.0,,RP_pos_0; RP_pos_0-H2O; RP_pos_Na; NP_pos_0; NP_pos_0-H2O,CH4NO,1
SPBP,2.0,sphingosine 1-phosphate,FA,,,d,10.0,10.0,,NP_neg_0; RP_neg_0; NP_pos_0; RP_pos_0; NP_neg_HCl; RP_neg_HCl,CH5NO5P,1
SPBP,3.0,,,,,t,5.0,5.0,,NP_neg_0; RP_neg_0; NP_pos_0; RP_pos_0; NP_neg_HCl; RP_neg_HCl,CH5NO6P,1
CDP-DG,0.0,cytidine diphospho diacylglycerol,FA,,,,,,,NP_neg_0; RP_neg_0,C14H19N3O15P2,2
MGDG,0.0,monoglycosyl diacylglycerol,FA,,,,,,,NP_pos_NH3; NP_pos_Na; NP_neg_HCl; RP_pos_NH3; RP_pos_Na; RP_neg_HCl,C11H16O10,2
DGDG,0.0,diglycosyl diacylglycerol,FA,,,,,,,NP_pos_NH3; NP_pos_Na; NP_neg_HCl; RP_pos_NH3; RP_pos_Na; RP_neg_HCl,C17H26O15,2
FOH,0.0,fatty alcohol,FA,,,,,,,NP_pos_NH3; NP_pos_Na,CH3O,1
PE-Cer,2.0,,FA,,,d,,,,,C4H9N2O6P,2
PE-Cer,3.0,,,,,t,,,,,C4H9N2O7P,2
PI-Cer,2.0,,FA,,,d,,,,,C8H14NO11P,2
PI-Cer,3.0,,,,,t,,,,,C8H14NO12P,2
PIP,0.0,,FA,,,,,,,,C11H17O16P2,2
WE,0.0,wax ester,FA,,,,,,,NP_pos_NH3; NP_pos_Na; RP_pos_NH3; RP_pos_Na; RP_pos_K; RP_pos_0,C2H2O2,2
SHexCer,2.0,,,,,D,,,,,C8H13NO11S,2
SHexCer,3.0,,,,,T,,,,,C8H13NO12S,2
